Title,Genres,Rank,Popularity,Score,Episodes,Episode length,Release Date
Shirobako,"Comedy,Drama",237,446,8.30,24,24 min. per ep.,Fall 2014
Shinsekai yori,"Drama,Horror,Mystery,Sci-Fi,Supernatural",234,217,8.31,25,22 min. per ep.,Fall 2012
Dr. Stone,"Adventure,Comedy,Sci-Fi",242,60,8.30,24,24 min. per ep.,Summer 2019
Bakuman. 2nd Season,"Comedy,Drama,Romance",189,578,8.36,25,24 min. per ep.,Fall 2011
Major: World Series,"Comedy,Drama,Sports",232,3280,8.31,2,28 min. per ep.,
Hibike! Euphonium 2,,243,973,8.30,13,23 min. per ep.,Fall 2016
Hotarubi no Mori e,"Drama,Romance,Supernatural",228,205,8.31,1,45 min.,
Hunter x Hunter: Original Video Animation,"Action,Adventure,Fantasy",229,1543,8.31,8,24 min. per ep.,
Kuroko no Basket 3rd Season,,231,237,8.31,25,24 min. per ep.,Winter 2015
Initial D First Stage,"Action,Drama",230,624,8.31,26,25 min. per ep.,Spring 1998
Kawaki wo Ameku,,226,3832,8.32,1,4 min.,
Doupo Cangqiong: San Nian Zhi Yue,"Action,Fantasy",223,8425,8.32,13,24 min. per ep.,
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,"Comedy,Romance",300,130,8.23,13,24 min. per ep.,Spring 2015
Shelter (Music),,233,622,8.31,1,6 min.,
Mobile Suit Gundam: Iron-Blooded Orphans 2nd Season,"Action,Drama,Sci-Fi",298,1489,8.23,25,24 min. per ep.,Fall 2016
Major S1,"Comedy,Drama,Sports",297,1836,8.23,26,25 min. per ep.,Fall 2004
Rurouni Kenshin: Meiji Kenkaku Romantan,"Action,Adventure,Comedy,Romance",236,402,8.30,94,25 min. per ep.,Winter 1996
World Trigger 3rd Season,"Action,Sci-Fi,Supernatural",235,2026,8.31,14,23 min. per ep.,Fall 2021
Evangelion: 2.0 You Can (Not) Advance,"Action,Drama,Sci-Fi",224,386,8.32,1,1 hr. 52 min.,
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 2nd Season,"Fantasy,Slice of Life",400,1238,8.13,12,23 min. per ep.,Spring 2020
Ginga Eiyuu Densetsu Gaiden,"Action,Drama,Sci-Fi",399,4061,8.13,24,26 min. per ep.,
Dragon Ball Super: Broly,"Action,Adventure,Fantasy",398,605,8.13,1,1 hr. 40 min.,
SKET Dance,,299,938,8.23,77,24 min. per ep.,Spring 2011
Douluo Dalu: Hanhai Qian Kun,"Action,Adventure,Fantasy,Romance",397,7347,8.13,13,21 min. per ep.,
Fate/stay night: Unlimited Blade Works 2nd Season,"Action,Fantasy,Supernatural",225,185,8.32,13,24 min. per ep.,Spring 2015
Doukyuusei (Movie),"Boys Love,Romance,Slice of Life",227,852,8.31,1,1 hr.,
Shoujo Kakumei Utena,"Comedy,Drama,Fantasy,Mystery",350,1021,8.18,39,23 min. per ep.,Spring 1997
Kaze Tachinu,"Drama,Romance",449,713,8.10,1,2 hr. 6 min.,
Kanata no Astra,"Adventure,Mystery,Sci-Fi",448,758,8.10,12,28 min. per ep.,Summer 2019
Haikyuu!! Movie 3: Sainou to Sense,,445,2244,8.10,1,1 hr. 29 min.,
Ginga Eiyuu Densetsu: Die Neue These - Gekitotsu,"Action,Drama,Sci-Fi",444,5163,8.10,12,25 min. per ep.,
Ramayana: The Legend of Prince Rama,,348,6740,8.18,1,2 hr. 15 min.,
Diamond no Ace,,441,895,8.10,75,24 min. per ep.,Fall 2013
Ginga Eiyuu Densetsu: Arata Naru Tatakai no Overture,"Action,Drama,Sci-Fi",443,3415,8.10,1,1 hr. 30 min.,
Kill la Kill,"Action,Comedy,Ecchi",499,48,8.05,24,24 min. per ep.,Fall 2013
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,"Action,Adventure,Drama,Supernatural",447,116,8.10,24,24 min. per ep.,Spring 2014
Hyouka,"Mystery,Slice of Life",446,87,8.10,22,25 min. per ep.,Spring 2012
Aria the OVA: Arietta,"Fantasy,Sci-Fi,Slice of Life",550,3215,8.01,1,30 min.,
