Title,Genres,Rank,Popularity,Score,Episodes,Episode length,Release Date
D4DJ: Double Mix,,/A,19535,N/A,1,Unknown,
D4DJ: All Mix,,/A,19534,N/A,Unknown,Unknown,Winter 2023
Chiyu Mahou no Machigatta Tsukaikata: Senjou wo Kakeru Kaifuku Youin,"Action,Fantasy",/A,8713,N/A,Unknown,Unknown,
Dragon Ball Super: Super Hero,"Action,Adventure,Fantasy",/A,3053,N/A,1,Unknown,
Chimera,"Action,Horror,Supernatural",/A,8607,N/A,1,Unknown,
Chimimo,,/A,19522,N/A,Unknown,Unknown,Summer 2022
Do It Yourself!!,"Comedy,Slice of Life",/A,5656,N/A,Unknown,Unknown,
Cyberpunk: Edgerunners,,/A,3708,N/A,10,Unknown,
Cheng Li Laile Liao Yi Tiao Long,,/A,19521,N/A,Unknown,Unknown,
Dr. Stone: Ryuusui,"Adventure,Comedy,Sci-Fi",/A,19593,N/A,1,Unknown,
Cherry and Virgin,,/A,8142,N/A,1,Unknown,
Cardfight!! Vanguard: Will+Dress,,/A,10979,N/A,Unknown,Unknown,Summer 2022
Chainsaw Man,"Action,Adventure",/A,463,N/A,Unknown,Unknown,
Cubistar,"Comedy,Fantasy",/A,12772,N/A,26,11 min. per ep.,
Cardfight!! Vanguard: overDress Season 4,,/A,12759,N/A,Unknown,Unknown,
Da Li Si Rizhi 2nd Season,"Action,Comedy,Mystery",/A,19537,N/A,Unknown,Unknown,
Bungou Stray Dogs 4th Season,"Action,Comedy,Mystery,Supernatural",/A,2018,N/A,Unknown,Unknown,
Bucchigire!,,/A,7445,N/A,Unknown,Unknown,Summer 2022
Bokura no Yoake,"Drama,Sci-Fi",/A,19497,N/A,1,Unknown,
Boku no Hero Academia 6th Season,,/A,1203,N/A,Unknown,Unknown,Fall 2022
Chi Yan Jinyiwei,,/A,14918,N/A,Unknown,Unknown,
Boku no Hero Academia (ONA),"Action,Sports",/A,19493,N/A,2,Unknown,
Boku ga Aishita Subete no Kimi e,"Romance,Sci-Fi",/A,10717,N/A,1,Unknown,
Blue Lock,,/A,2383,N/A,Unknown,Unknown,
Buta no Liver wa Kanetsu Shiro,"Comedy,Fantasy",/A,19505,N/A,Unknown,Unknown,
Bocchi the Rock!,"Comedy,Slice of Life",/A,6755,N/A,Unknown,Unknown,
Bishoujo Senshi Sailor Moon Cosmos Movie,,/A,19492,N/A,2,Unknown,
Disney: Twisted-Wonderland,,/A,8000,N/A,Unknown,Unknown,
"Benriya Saitou-san, Isekai ni Iku","Adventure,Comedy,Fantasy",/A,19486,N/A,Unknown,Unknown,
Beastars (Shin Shou),"Drama,Slice of Life",/A,3554,N/A,Unknown,Unknown,
Bleach: Sennen Kessen-hen,"Action,Adventure,Fantasy",/A,1573,N/A,Unknown,Unknown,Fall 2022
Biao Ren: Blades of the Guardians,,/A,4802,N/A,Unknown,Unknown,
Bastard!! Ankoku no Hakaishin (ONA) Part 2,"Action,Adventure,Comedy,Fantasy,Ecchi",/A,19481,N/A,11,Unknown,
Black Clover Movie,"Action,Comedy,Fantasy",/A,1794,N/A,1,Unknown,
Cencoroll 3,"Action,Sci-Fi",/A,6699,N/A,1,Unknown,
Baise Shandian,,/A,19472,N/A,Unknown,Unknown,
Bastard!! Ankoku no Hakaishin (ONA),"Action,Adventure,Comedy,Fantasy,Ecchi",/A,6365,N/A,13,Unknown,
AWM Jixian Juji,"Action,Comedy,Drama",/A,11293,N/A,Unknown,Unknown,
B-Project 3rd Season,,/A,9060,N/A,Unknown,Unknown,
C Danchi,,/A,19508,N/A,Unknown,Unknown,
Argonavis from BanG Dream! Movie,,/A,10921,N/A,1,Unknown,
Ayakashi Triangle,"Action,Comedy,Romance,Ecchi",/A,19463,N/A,Unknown,Unknown,
Bai She Chuan Zhi Bai Suzhen,"Action,Fantasy,Romance",/A,14727,N/A,1,1 hr. 30 min.,
Aoao Dai Bu,"Comedy,Fantasy,Slice of Life",/A,12915,N/A,Unknown,Unknown,
Arifureta Shokugyou de Sekai Saikyou 2nd Season OVA,"Action,Adventure,Fantasy",/A,19438,N/A,1,Unknown,
Ani ni Tsukeru Kusuri wa Nai! 5,"Comedy,Slice of Life",/A,7214,N/A,Unknown,Unknown,
Ame wo Tsugeru Hyouryuu Danchi,,/A,7711,N/A,1,Unknown,
Arknights: Reimei Zensou,"Action,Fantasy",/A,6631,N/A,Unknown,Unknown,
Akira (Shin Anime),"Action,Sci-Fi,Supernatural",/A,4455,N/A,Unknown,Unknown,
Aiyou de Mishi,"Mystery,Romance",/A,13824,N/A,Unknown,Unknown,
After School,,/A,10417,N/A,Unknown,Unknown,
Aoki Uru,,/A,6668,N/A,1,Unknown,
5-toubun no Hanayome Movie,"Comedy,Romance",/A,1647,N/A,1,Unknown,
02,"Action,Adventure,Comedy,Drama,Fantasy",/A,10671,N/A,1,Unknown,
Zuoshou Shanglan,,/A,20349,N/A,13,Unknown,
Amrita no Kyouen,"Fantasy,Horror,Mystery",/A,9742,N/A,1,Unknown,
Zhu Xian,"Adventure,Fantasy",/A,17053,N/A,Unknown,Unknown,
Zero Seiki Movie 2: Herlock,"Action,Adventure,Sci-Fi",/A,10465,N/A,1,Unknown,
Ane Naru Mono,"Horror,Romance,Supernatural,Ecchi",/A,5106,N/A,Unknown,Unknown,
Bakuten!! Movie,,/A,5081,N/A,1,Unknown,
Zombieland Saga Movie,"Comedy,Supernatural",/A,4050,N/A,1,Unknown,
Yuusha ga Shinda!,"Action,Adventure,Fantasy,Ecchi",/A,20329,N/A,Unknown,Unknown,
Zannen na Ikimono Jiten the Movie,"Comedy,Slice of Life",/A,18661,N/A,1,Unknown,
"Yuusha, Yamemasu: Kenshuu Ryokou wa Mokuteki wo Miushinau na","Action,Adventure,Comedy,Fantasy",/A,7627,N/A,2,Unknown,
Yuru Camp△ Movie,"Comedy,Slice of Life",/A,2990,N/A,1,Unknown,
4-nin wa Sorezore Uso wo Tsuku,"Comedy,Slice of Life",/A,19417,N/A,Unknown,Unknown,
Zero Seiki Movie 3: Maetel,"Action,Adventure,Sci-Fi",/A,10974,N/A,1,Unknown,
Yuri!!! on Ice The Movie: Ice Adolescence,"Comedy,Sports",/A,1983,N/A,1,Unknown,
Yuan Long 3rd Season,"Action,Adventure,Fantasy",/A,13040,N/A,Unknown,Unknown,
Yuan Zun,"Action,Adventure,Fantasy",/A,20322,N/A,Unknown,Unknown,
Yowamushi Pedal: Limit Break,,/A,20318,N/A,Unknown,Unknown,Fall 2022
Yousei Chii-tan☆,,/A,16187,N/A,Unknown,Unknown,
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e (TV) 3rd Season,"Drama,Suspense",/A,20316,N/A,Unknown,Unknown,
Youjo Senki II,,/A,1943,N/A,Unknown,Unknown,
You Yao 2nd Season,,/A,13777,N/A,Unknown,Unknown,
Ao no Orchestra,,/A,19437,N/A,Unknown,Unknown,
Yofukashi no Uta,"Romance,Supernatural",/A,2181,N/A,Unknown,Unknown,Summer 2022
Yoru wa Neko to Issho,"Comedy,Slice of Life",/A,20310,N/A,Unknown,Unknown,Summer 2022
Ye Xing Xia Ying,"Action,Fantasy,Sci-Fi",/A,17218,N/A,Unknown,Unknown,
Yurei Deco,,/A,20327,N/A,Unknown,Unknown,Summer 2022
Yinhe Zhi Xin,"Action,Sci-Fi",/A,14792,N/A,Unknown,Unknown,
Yama no Susume: Next Summit,"Adventure,Comedy,Slice of Life",/A,7192,N/A,12,Unknown,Fall 2022
"Yamato yo, Towa ni: Rebel 3199","Action,Drama,Sci-Fi",/A,20303,N/A,Unknown,Unknown,
Yi Nian Yong Heng: Chuan Cheng Pian,"Action,Adventure,Fantasy",/A,10389,N/A,Unknown,Unknown,
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan OVA,"Comedy,Romance",/A,2311,N/A,1,23 min.,
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e (TV) 2nd Season,"Drama,Suspense",/A,20315,N/A,Unknown,Unknown,Summer 2022
"Yowai 5000-nen no Soushoku Dragon, Iwarenaki Jaryuu Nintei","Adventure,Comedy,Fantasy",/A,11218,N/A,Unknown,Unknown,
Xiling Diguo,"Action,Fantasy",/A,15852,N/A,Unknown,Unknown,
Ya She,,/A,13119,N/A,Unknown,Unknown,
Xian Wang de Richang Shenghuo 3,"Adventure,Comedy,Fantasy,Slice of Life",/A,4093,N/A,Unknown,Unknown,
Wu Tain Yu Shang 2035,"Action,Sci-Fi",/A,18127,N/A,Unknown,Unknown,
Wu Shan Wu Xing (2020): Xichuan Huan Zi Lin,"Action,Fantasy,Supernatural",/A,7690,N/A,Unknown,Unknown,
Wu Chengen Ji Yao Lu,"Adventure,Comedy,Fantasy",/A,13298,N/A,Unknown,Unknown,
Vampire in the Garden,,/A,4666,N/A,Unknown,Unknown,
Yaneura no Rudger,,/A,20304,N/A,1,Unknown,
Utawarerumono: Futari no Hakuoro,"Action,Drama,Fantasy",/A,5014,N/A,28,Unknown,Summer 2022
Uta no☆Prince-sama♪ Movie: Maji Love ST☆RISH Tours,"Comedy,Romance",/A,8495,N/A,1,Unknown,
Urusei Yatsura (2022),"Comedy,Romance,Sci-Fi",/A,20215,N/A,Unknown,Unknown,
Wuxian Shijie,"Action,Fantasy,Supernatural",/A,18148,N/A,Unknown,Unknown,
Vazzrock The Animation,,/A,11655,N/A,Unknown,Unknown,
Under Ninja,"Action,Comedy,Drama,Slice of Life",/A,8576,N/A,Unknown,Unknown,
Ultraman Final,"Action,Sci-Fi",/A,20207,N/A,Unknown,Unknown,
Uchuu Camper Chicchi,,/A,20205,N/A,1,Unknown,
Uma Musume: Pretty Derby (ONA),,/A,20208,N/A,Unknown,Unknown,
Zero Seiki Movie 1: Emeraldas,"Action,Adventure,Sci-Fi",/A,9239,N/A,1,Unknown,
Tsurune Movie: Hajimari no Issha,,/A,5060,N/A,1,Unknown,
Uzaki-chan wa Asobitai! 2nd Season,"Comedy,Slice of Life,Ecchi",/A,1936,N/A,Unknown,Unknown,
Xiuluo Wu Shen,"Action,Fantasy",/A,16849,N/A,Unknown,Unknown,
Umayuru,,/A,20209,N/A,Unknown,Unknown,
Uzumaki,"Avant Garde,Drama,Horror,Romance,Supernatural",/A,2174,N/A,4,Unknown,Fall 2022
Toutotsu ni Egypt Shin 2,"Comedy,Fantasy,Slice of Life",/A,11961,N/A,Unknown,Unknown,
Tsuki ga Michibiku Isekai Douchuu 2nd Season,"Action,Adventure,Comedy,Fantasy",/A,2458,N/A,Unknown,23 min.,
Tonikaku Kawaii: Seifuku,"Comedy,Romance",/A,20193,N/A,1,Unknown,
Tomodachi no Imouto ga Ore ni dake Uzai,"Comedy,Romance",/A,4118,N/A,Unknown,Unknown,
Tsundere Akuyaku Reijou Liselotte to Jikkyou no Endou-kun to Kaisetsu no Kobayashi-san,"Comedy,Fantasy,Romance",/A,20197,N/A,Unknown,Unknown,
Tokyo Revengers: Seiya Kessen-hen,"Action,Drama,Supernatural",/A,20187,N/A,Unknown,Unknown,
Uchi no Shishou wa Shippo ga Nai,,/A,9023,N/A,Unknown,Unknown,Fall 2022
Top wo Nerae 3!,"Action,Comedy,Drama,Sci-Fi",/A,7533,N/A,Unknown,Unknown,
Tongari Atama no Gonta: Futatsu no Namae wo Ikita Fukushima Hisai Inu no Monogatari,,/A,10965,N/A,1,Unknown,
Tokyo Babylon 2021,"Boys Love,Drama,Fantasy,Supernatural",/A,6062,N/A,Unknown,Unknown,
Tonikaku Kawaii 2nd Season,"Comedy,Romance",/A,1905,N/A,Unknown,Unknown,
Tian Mei De Yao Hen,"Drama,Romance,Supernatural",/A,10060,N/A,Unknown,Unknown,
Tian Bao Fuyao Lu 3rd Season,"Action,Adventure,Fantasy,Supernatural",/A,11322,N/A,Unknown,Unknown,
The Legend of Heroes: Sen no Kiseki Northern War,,/A,9463,N/A,Unknown,Unknown,
Yojouhan Time Machine Blues,"Comedy,Mystery,Romance",/A,4807,N/A,Unknown,Unknown,
To the Moon,"Adventure,Drama,Sci-Fi",/A,5805,N/A,1,Unknown,
Toku: Touken Ranbu - Hanamaru - Setsugetsuka,"Action,Comedy,Drama,Fantasy,Slice of Life",/A,8776,N/A,3,Unknown,
Tongari Boushi no Atelier,,/A,20190,N/A,Unknown,Unknown,
The iDOLM@STER Million Live!,,/A,8291,N/A,Unknown,Unknown,
Tensei shitara Ken Deshita,"Action,Fantasy",/A,5035,N/A,Unknown,Unknown,Fall 2022
Teppen!!!!!!!!!!!!!!!,"Comedy,Slice of Life",/A,20159,N/A,Unknown,Unknown,Summer 2022
"Tensei Kenja no Isekai Life: Dai-2 no Shokugyou wo Ete, Sekai Saikyou ni Narimashita","Action,Adventure,Fantasy",/A,3295,N/A,Unknown,Unknown,Summer 2022
Tokyo Mew Mew New ♡,"Comedy,Fantasy,Romance,Sci-Fi",/A,4468,N/A,Unknown,Unknown,Summer 2022
Ten Count,"Boys Love,Drama,Romance",/A,3337,N/A,Unknown,Unknown,
The IDOLM@STER Cinderella Girls: U149,,/A,20163,N/A,Unknown,Unknown,
Technoroid: Overmind,,/A,9043,N/A,Unknown,Unknown,
Tenjin,,/A,20156,N/A,1,Unknown,
Tate no Yuusha no Nariagari Season 3,"Action,Adventure,Drama,Fantasy",/A,886,N/A,Unknown,Unknown,
Tian Yi Que,"Action,Fantasy",/A,14889,N/A,Unknown,Unknown,
Slam Dunk Movie,,/A,6583,N/A,1,Unknown,
Soredemo Ayumu wa Yosetekuru,"Comedy,Slice of Life",/A,2970,N/A,Unknown,Unknown,Summer 2022
Tai-Ari deshita.: Ojou-sama wa Kakutou Game nante Shinai,"Comedy,Girls Love",/A,8430,N/A,Unknown,Unknown,
Spriggan (ONA),"Action,Adventure,Sci-Fi",/A,5703,N/A,Unknown,Unknown,
Tian Guan Ci Fu 2nd Season,"Action,Adventure,Drama,Fantasy,Supernatural",/A,5155,N/A,Unknown,Unknown,
Skip to Loafer,,/A,9324,N/A,Unknown,Unknown,
Shuo Feng: Po Zhen Zi,"Action,Adventure",/A,8404,N/A,1,Unknown,
Shishigari,"Action,Adventure",/A,10143,N/A,1,Unknown,
SK∞ (Shinsaku Anime Project),,/A,3759,N/A,Unknown,Unknown,
Shoot! Goal to the Future,,/A,8592,N/A,Unknown,Unknown,Summer 2022
Shinigami Bocchan to Kuro Maid (Zoku-hen),"Comedy,Drama,Supernatural",/A,3992,N/A,Unknown,Unknown,
Shinmai Renkinjutsushi no Tenpo Keiei,"Adventure,Fantasy,Slice of Life",/A,9401,N/A,Unknown,Unknown,Fall 2022
Shine Post,,/A,10153,N/A,Unknown,Unknown,Summer 2022
Shingeki no Kyojin: The Final Season - Kanketsu-hen,"Action,Drama",/A,20111,N/A,Unknown,Unknown,
Tensei shitara Slime Datta Ken Movie: Guren no Kizuna-hen,"Action,Adventure,Comedy,Fantasy",/A,2024,N/A,1,Unknown,
Shin Tennis no Ouji-sama: U-17 World Cup,,/A,8144,N/A,Unknown,Unknown,Summer 2022
"Slime Taoshite 300-nen, Shiranai Uchi ni Level Max ni Nattemashita 2nd Season","Comedy,Fantasy,Slice of Life",/A,20132,N/A,Unknown,Unknown,
Soukyuu no Fafner: Behind the Line,,/A,20137,N/A,1,Unknown,
Shenhai,"Adventure,Fantasy",/A,10770,N/A,1,Unknown,
Shanhe Jian Xin 2nd Season,"Action,Adventure,Fantasy",/A,9860,N/A,Unknown,Unknown,
Shiguang Dailiren II,"Drama,Supernatural",/A,3731,N/A,Unknown,Unknown,
Shaman King (2021) (Zoku-hen),"Adventure,Comedy,Supernatural",/A,20062,N/A,Unknown,Unknown,
Shen Lan Qi Yu Wushuang Zhu,"Action,Fantasy",/A,16941,N/A,Unknown,Unknown,
Shaonian Baima Zui Chunfeng,"Action,Fantasy",/A,14929,N/A,Unknown,Unknown,
Shikaru Neko,,/A,10650,N/A,Unknown,30 sec.,
Shin Shinka no Mi: Shiranai Uchi ni Kachigumi Jinsei,"Adventure,Comedy,Fantasy,Romance",/A,20110,N/A,Unknown,Unknown,
Seiken Gakuin no Makentsukai,"Action,Fantasy",/A,6361,N/A,Unknown,Unknown,
Seiken Densetsu: Legend of Mana - The Teardrop Crystal,,/A,9643,N/A,Unknown,Unknown,
Sasaki to Miyano: Koi ni Kizuku Mae no Chotto Shita Hanashi.,"Boys Love,Slice of Life",/A,4906,N/A,1,Unknown,
Shuumatsu no Walküre 2nd Season,"Action,Drama,Supernatural",/A,6217,N/A,Unknown,Unknown,
Sasaki to Miyano (Shinsaku Anime),"Boys Love,Slice of Life",/A,20049,N/A,Unknown,Unknown,
Saikyou Onmyouji no Isekai Tenseiki: Geboku no Youkai-domo ni Kurabete Monster ga Yowasugirunda ga,"Action,Adventure,Fantasy",/A,20039,N/A,Unknown,Unknown,
Shanghai Gushi,"Drama,Slice of Life",/A,17099,N/A,Unknown,Unknown,
Saihate no Paladin 2nd Season,"Action,Adventure,Fantasy",/A,20038,N/A,Unknown,Unknown,
Shinobi no Ittoki,,/A,20113,N/A,Unknown,Unknown,
Shadows House 2nd Season,"Slice of Life,Supernatural",/A,3322,N/A,Unknown,Unknown,Summer 2022
Rurouni Kenshin: Meiji Kenkaku Romantan (Shin Anime Project),"Action,Romance",/A,20036,N/A,Unknown,Unknown,
Seirei Gensouki 2nd Season,"Action,Adventure,Drama,Fantasy,Romance",/A,2668,N/A,Unknown,Unknown,
Rilakkuma to Yuuenchi,,/A,10798,N/A,Unknown,Unknown,
RWBY: Hyousetsu Teikoku,,/A,20037,N/A,Unknown,Unknown,
Ragna Crimson,,/A,20010,N/A,Unknown,Unknown,
Rail Romanesque 2nd Season,,/A,8689,N/A,Unknown,Unknown,
Rakudai Majo,,/A,20012,N/A,1,Unknown,
Sasami 14: Mahou Shoujo Pretty Sammy,"Comedy,Fantasy",/A,16582,N/A,Unknown,Unknown,
Quanzhi Gaoshou 3,,/A,4094,N/A,Unknown,Unknown,
Project758,,/A,10959,N/A,Unknown,Unknown,
Sakkai Eightraid,"Action,Fantasy",/A,7908,N/A,Unknown,Unknown,
Princess Principal: Crown Handler Movie 3,"Action,Mystery",/A,7944,N/A,1,Unknown,
Poputepipikku 2nd Season,,/A,19980,N/A,Unknown,Unknown,Fall 2022
Qiang Shen Ji: Shenhai Xianluo Pian,"Action,Sci-Fi",/A,16707,N/A,Unknown,Unknown,
Pokemon Legends Arceus: Yuki Hodo Kishi Futaai,"Action,Adventure,Fantasy",/A,6114,N/A,3,Unknown,
Peter Grill to Kenja no Jikan: Super Extra,"Comedy,Fantasy,Ecchi",/A,4894,N/A,Unknown,Unknown,
Rabbits Kingdom the Movie,,/A,20009,N/A,1,Unknown,
Quanzhi Fashi VI,"Action,Fantasy",/A,6341,N/A,Unknown,Unknown,
Peng Ran Xindong,"Romance,Slice of Life",/A,8864,N/A,Unknown,Unknown,
Peleliu: Rakuen no Guernica,,/A,14600,N/A,Unknown,Unknown,
Overlord IV,"Action,Fantasy,Supernatural",/A,1035,N/A,Unknown,Unknown,Summer 2022
Pluto,"Action,Mystery,Sci-Fi",/A,5601,N/A,Unknown,Unknown,
Otonari no Tenshi-sama ni Itsunomanika Dame Ningen ni Sareteita Ken,"Comedy,Romance",/A,19952,N/A,Unknown,Unknown,
Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta… Movie,"Comedy,Drama,Fantasy,Romance",/A,3849,N/A,1,Unknown,
Osomatsu-san Movie 3,,/A,13011,N/A,1,Unknown,
Osomatsu-san: Hipipo-Zoku to Kagayaku Kajitsu,,/A,11698,N/A,1,Unknown,
Rock'n Oyone,,/A,20026,N/A,1,Unknown,
Orbital Era,"Adventure,Sci-Fi",/A,8085,N/A,1,Unknown,
Seijo no Maryoku wa Bannou Desu 2nd Season,"Fantasy,Romance,Slice of Life",/A,20056,N/A,Unknown,Unknown,
Ookami to Koushinryou (Shinsaku Anime),"Adventure,Drama,Fantasy,Romance",/A,19943,N/A,Unknown,Unknown,
Oniichan wa Oshimai!,"Comedy,Slice of Life",/A,19942,N/A,Unknown,Unknown,
Prima Doll,"Sci-Fi,Slice of Life",/A,19982,N/A,Unknown,Unknown,Summer 2022
Otonari ni Ginga,"Comedy,Romance",/A,19951,N/A,Unknown,Unknown,
One Piece Film: Red,"Action,Adventure,Comedy,Drama,Fantasy",/A,2819,N/A,1,Unknown,
Nozomanu Fushi no Boukensha,"Action,Adventure,Fantasy",/A,19936,N/A,Unknown,Unknown,
Orient: Awajishima Gekitou-hen,"Action,Fantasy",/A,19946,N/A,Unknown,Unknown,Summer 2022
Noumin Kanren no Skill bakka Agetetara Nazeka Tsuyoku Natta.,"Action,Adventure,Fantasy",/A,19935,N/A,Unknown,Unknown,
Opus.COLORs,,/A,19945,N/A,Unknown,Unknown,
Nora to Oujo to Noraneko Heart (Shin Anime),"Comedy,Ecchi",/A,8254,N/A,Unknown,Unknown,
Nijuuseiki Denki Mokuroku,,/A,4935,N/A,Unknown,Unknown,
NieR:Automata,,/A,19928,N/A,Unknown,Unknown,
Onmyou Hyakki Monogatari,,/A,8510,N/A,Unknown,Unknown,
"Natsu e no Tunnel, Sayonara no Deguchi","Drama,Mystery,Sci-Fi",/A,5844,N/A,1,Unknown,
Ooyukiumi no Kaina,,/A,19944,N/A,Unknown,Unknown,Winter 2023
Oni (TV),,/A,16706,N/A,Unknown,Unknown,
Overlord Movie 3: Sei Oukoku-hen,"Action,Fantasy,Supernatural",/A,4751,N/A,1,Unknown,
Nuan Yang,"Drama,Slice of Life",/A,10627,N/A,Unknown,Unknown,
Mystery of Kumamon,,/A,11373,N/A,1,Unknown,
Muv-Luv Alternative 2nd Season,"Action,Drama,Sci-Fi",/A,19910,N/A,Unknown,Unknown,Fall 2022
Mobile Suit Gundam SEED Movie,"Drama,Sci-Fi",/A,9528,N/A,1,Unknown,
Mo Du Zhe,"Drama,Mystery",/A,7763,N/A,Unknown,Unknown,
Nanatsu no Taizai: Mokushiroku no Yonkishi,"Action,Adventure,Fantasy",/A,19926,N/A,Unknown,Unknown,
Migi to Dali,"Comedy,Mystery",/A,19876,N/A,Unknown,Unknown,
Niehime to Kemono no Ou,"Fantasy,Romance",/A,7351,N/A,Unknown,Unknown,
Mekakucity Reload,"Comedy,Romance,Sci-Fi,Supernatural",/A,3158,N/A,Unknown,Unknown,
Nanatsu no Taizai: Ensa no Edinburgh,"Action,Adventure,Fantasy,Supernatural",/A,4522,N/A,2,Unknown,
MF Ghost,,/A,19870,N/A,Unknown,Unknown,
Megaton-kyuu Musashi 2nd Season,"Action,Sci-Fi",/A,19857,N/A,Unknown,Unknown,Fall 2022
Meitantei Conan: Hannin no Hanzawa-san,"Comedy,Mystery",/A,11572,N/A,Unknown,Unknown,
Nanatsu no Maken ga Shihai suru,"Action,Fantasy",/A,19925,N/A,Unknown,Unknown,
Mingwang Huan Shi Lu,"Action,Fantasy",/A,17491,N/A,Unknown,Unknown,
Ningen Fushin no Boukensha-tachi ga Sekai wo Sukuu you desu,"Action,Adventure,Fantasy",/A,8301,N/A,Unknown,Unknown,
"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou 2nd Season Part 2","Action,Fantasy",/A,2741,N/A,Unknown,Unknown,
Mato Seihei no Slave,"Action,Fantasy,Supernatural",/A,5011,N/A,Unknown,Unknown,
Mamahaha no Tsurego ga Motokano datta,"Comedy,Romance",/A,3342,N/A,Unknown,Unknown,Summer 2022
"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou 2nd Season",,/A,1508,N/A,Unknown,Unknown,
Make My Day,"Horror,Suspense",/A,11162,N/A,Unknown,Unknown,
Mignon,"Boys Love,Drama,Romance",/A,8244,N/A,12,5 min. per ep.,
Mainichi JK Kikaku Episode 0,,/A,9033,N/A,1,Unknown,
Mairimashita! Iruma-kun 3rd Season,"Comedy,Fantasy,Supernatural",/A,3195,N/A,Unknown,Unknown,Fall 2022
Mahoutsukai Sally Specials,,18467,15668,N/A,2,47 min. per ep.,
Masamune-kun no Revenge R,"Comedy,Romance",/A,19850,N/A,Unknown,Unknown,
MahoYome Specials,,18468,19839,N/A,6,30 sec. per ep.,
Mahou Shoujo Liese Prettia,,18463,14981,N/A,1,2 min.,
Mahou no Tenshi Creamy Mami no Otogibanashi,,18461,13634,N/A,1,3 min.,
Mahou no Yousei Persia: Kaiten Mokuba,,18462,14431,N/A,1,45 min.,
Möbius Dust,,/A,9218,N/A,Unknown,Unknown,
Mahou no Star Magical Emi: Finale! Finale!,,18460,13385,N/A,1,17 min.,
Magnerobo Ga-Keen Recap,"Action,Sci-Fi",18458,16277,N/A,1,5 min.,
Mahou no Ryouri: Kimi kara Kimi e,,18459,17078,N/A,1,4 min.,
Magical★Taruruuto-kun: Sukisuki Takoyaki!,"Adventure,Comedy,Fantasy,Ecchi",18457,14252,N/A,1,30 min.,
Mahou Shoujo? Naria☆Girls Nama de Anime wo Tsukuru Sama,,18464,12821,N/A,12,40 min. per ep.,
Magical★Taruruuto-kun: Moeru! Yuujou no Mahou Taisen,"Adventure,Comedy,Fantasy,Ecchi",18456,14267,N/A,1,40 min.,
Mahoutsukai Reimeiki Mini Anime,"Comedy,Fantasy",18466,14712,N/A,21,1 min. per ep.,
Magical Puuta no Hi Asobi wa Abunai yo,,18454,17892,N/A,1,15 min.,
Magical Maho,,18453,17192,N/A,1,22 min.,
Mob Psycho 100 III,"Action,Comedy,Supernatural",/A,1091,N/A,Unknown,Unknown,
Madonna no Yuuwaku,,18443,18308,N/A,1,4 min.,
Magical★Taruruuto-kun Movie,"Adventure,Comedy,Fantasy,Ecchi",18455,14065,N/A,1,50 min.,
Magical Love Potion!,,18452,17624,N/A,1,2 min.,
Magical Hat,"Adventure,Comedy,Fantasy",18451,13589,N/A,33,25 min. per ep.,Fall 1989
Mado wo Akete,,18442,19836,N/A,1,3 min.,
Madeob Bus Tayo,,18440,19835,N/A,10,12 min. per ep.,Winter 2021
Mad Love,,18439,18257,N/A,1,3 min.,
Mado (Music),,18441,16928,N/A,1,4 min.,
Mainichi JK Kikaku,,/A,6505,N/A,Unknown,Unknown,
Mahoutsukai Haley no Speed Story,,18465,13224,N/A,1,22 min.,
Maboroshi Mabo-chan,"Adventure,Fantasy",18433,16691,N/A,24,25 min. per ep.,Spring 1992
Machibouke,,18435,17735,N/A,1,2 min.,
Mach Girl,,18434,12619,N/A,26,3 min. per ep.,Fall 2008
Mabeob Chunjamun,,18429,18488,N/A,26,25 min. per ep.,
Mabeob Chunjamun Season 2,,18430,18546,N/A,26,25 min. per ep.,
Madou King Granzort: Nonstop Rabi,"Action,Comedy,Fantasy,Sci-Fi",18444,15084,N/A,1,30 min.,
Maabou no Shounen Koukuu Tsuwamono,,18428,14684,N/A,1,11 min.,
Machibouke (2017),,18436,17307,N/A,1,4 min.,
Macross Δ Movie 2: Zettai Live!!!,"Action,Sci-Fi",18438,7176,N/A,1,Unknown,
Ma Lan Hua (2009),,18423,19832,N/A,1,1 hr. 39 min.,
Ma Shen,,18424,10326,N/A,16,13 min. per ep.,
Mabeob Chunjamun: Daemawang-ui Buhwal-eul Mag-ala,,18431,17868,N/A,1,1 hr. 25 min.,
M,,18420,19830,N/A,1,4 min.,
Luxing Ba! Jingdizhiwa,"Adventure,Fantasy",18419,19827,N/A,1,1 hr. 18 min.,
Ma-eum-uisoli,"Comedy,Slice of Life",18425,18551,N/A,26,Unknown,Summer 2016
Machikado Mazoku: 2-choume Mini,,18437,15176,N/A,Unknown,1 min.,
Luotuo Xian Wu,,18418,18801,N/A,1,Unknown,
Ma Feng Wo,,18421,19170,N/A,1,10 min.,
Luo Bo Hui Lai Le,,18417,19097,N/A,1,17 min.,
